Distance,Top,Middle-T,Middle-B,Bottom
4.5,0.653223,0.718776,0.722255,0.718379
4.5,0.654536,0.718593,0.72047,0.718593
5,0.694316,0.722728,0.72134,0.718532
5,0.69395,0.722271,0.720821,0.718364
5,0.690944,0.720531,0.721233,0.718563
5,0.691691,0.72105,0.721828,0.720195
5,0.69192,0.721889,0.722026,0.719844
5,0.69189,0.721386,0.722072,0.719219
5,0.691936,0.722927,0.724163,0.720195
5,0.692012,0.721767,0.722011,0.719661
5,0.694011,0.722301,0.721477,0.718608
5,0.692668,0.722271,0.721981,0.71902
5,0.691005,0.720943,0.721431,0.718914
5,0.69337,0.723125,0.72192,0.717968
5,0.690623,0.72018,0.721904,0.720485
5,0.691707,0.721431,0.722408,0.71986
5,0.691295,0.721386,0.722759,0.721004
5,0.692363,0.722683,0.722347,0.720302
5,0.691707,0.722377,0.723384,0.719921
5.2,0.69865,0.722225,0.72166,0.719738
5.2,0.697688,0.721065,0.721965,0.719326
5.2,0.699931,0.723003,0.721721,0.71812
5.2,0.697841,0.721752,0.723018,0.721462
5.2,0.698833,0.722042,0.721965,0.719463
5.2,0.700038,0.723171,0.72224,0.718868
5.2,0.697261,0.720577,0.720745,0.718288
5.2,0.697063,0.720699,0.721767,0.720974
5.2,0.700145,0.722225,0.721584,0.719112
5.2,0.698848,0.722148,0.721691,0.718532
5.2,0.698512,0.722133,0.721996,0.719112
4.75,0.671489,0.723156,0.723247,0.719234
4.75,0.67039,0.721889,0.722927,0.71931
4.75,0.668437,0.720363,0.723018,0.721218
4.75,0.671168,0.720455,0.721614,0.719158
4.75,0.671839,0.721096,0.722271,0.719875
4.75,0.669734,0.722469,0.723751,0.719371
4.75,0.669078,0.721004,0.723827,0.721218
4.75,0.669306,0.720424,0.722103,0.720394
4.75,0.669276,0.720363,0.722072,0.720409
4.75,0.671031,0.72076,0.721508,0.720333
4.75,0.669276,0.721096,0.723201,0.72105
4.75,0.668345,0.719432,0.722362,0.720088
4.25,0.639567,0.716182,0.72192,0.719463
4.25,0.63714,0.715175,0.722332,0.719829
4.25,0.637537,0.715221,0.722286,0.719249
4.25,0.637873,0.715602,0.722042,0.718929
4.25,0.636576,0.714076,0.722423,0.720256
4.25,0.638178,0.715328,0.721523,0.719188
4.25,0.637079,0.716106,0.724102,0.722133
4.25,0.638575,0.717662,0.724819,0.720333
4.25,0.637415,0.714961,0.721981,0.718975
4.25,0.639002,0.716655,0.723079,0.720088
4.25,0.636881,0.715389,0.723613,0.721462
4.25,0.636133,0.713649,0.722087,0.721172
4.25,0.637934,0.715221,0.722484,0.720378
3.75,0.647379,0.698756,0.721675,0.71989
3.75,0.646708,0.697368,0.720607,0.719997
3.75,0.645319,0.697353,0.72282,0.722332
3.75,0.646937,0.699443,0.72282,0.719814
3.75,0.647532,0.700313,0.723735,0.721065
3.75,0.648463,0.699077,0.721614,0.719203
3.75,0.647181,0.69894,0.722698,0.720989
3.75,0.645869,0.699031,0.722622,0.720775
3.75,0.647303,0.698253,0.721141,0.72018
3.75,0.64596,0.697673,0.721492,0.719631
3.75,0.64538,0.696849,0.720714,0.7196
3.75,0.646159,0.6972,0.7205,0.719646
3.75,0.647028,0.698054,0.720913,0.720088
3.75,0.646616,0.698528,0.722179,0.720684
3.75,0.645441,0.697536,0.721065,0.719615
3.75,0.64651,0.697246,0.719692,0.718944
3.75,0.645151,0.697673,0.722042,0.720363
3.75,0.646876,0.699428,0.723018,0.720348
3.25,0.682933,0.662974,0.719234,0.719661
3.25,0.685054,0.664515,0.719173,0.71899
3.25,0.683131,0.664714,0.720867,0.719448
3.25,0.683818,0.664469,0.719234,0.719295
3.25,0.683391,0.665309,0.722148,0.720928
3.25,0.682414,0.663188,0.719173,0.720027
3.25,0.681758,0.663081,0.720546,0.720668
3.25,0.681636,0.663111,0.720836,0.721889
3.25,0.681758,0.662593,0.719936,0.721736
3.25,0.684123,0.663111,0.719051,0.720684
3.25,0.682139,0.663081,0.719783,0.720241
3.25,0.684153,0.664836,0.721386,0.720119
3.25,0.683207,0.665034,0.721736,0.720653
2.75,0.709209,0.633387,0.710079,0.720394
2.75,0.709133,0.632761,0.709499,0.720424
2.75,0.708812,0.633356,0.710918,0.721279
2.75,0.710506,0.633143,0.708797,0.719112
2.75,0.709392,0.634134,0.712703,0.721019
2.75,0.709468,0.633127,0.708919,0.719005
2.75,0.710155,0.634516,0.710979,0.72018
2.75,0.71017,0.633448,0.709117,0.718822
2.75,0.709438,0.634394,0.712367,0.720775
2.75,0.710109,0.634424,0.709682,0.719203
2.75,0.708827,0.632456,0.709834,0.721386
2.75,0.709911,0.632822,0.709804,0.720699
2.75,0.708797,0.633295,0.710384,0.72105
2.75,0.708263,0.631586,0.708522,0.72018
2.25,0.718669,0.659037,0.686839,0.718807
2.25,0.717479,0.657237,0.684977,0.717952
2.25,0.718502,0.657694,0.685466,0.718776
2.25,0.719905,0.65771,0.684749,0.718395
2.25,0.717723,0.658061,0.686015,0.719539
2.25,0.717952,0.657664,0.685878,0.7187
2.25,0.718593,0.658778,0.685039,0.718105
2.25,0.716869,0.656291,0.684855,0.719188
2.25,0.717525,0.656519,0.684321,0.717861
2.25,0.718654,0.658518,0.685634,0.718166
2.25,0.717159,0.658076,0.687999,0.719585
2.25,0.717952,0.656504,0.684535,0.718837
2.25,0.718059,0.65771,0.685664,0.719341
2.25,0.720211,0.658747,0.685237,0.717861
2.25,0.719249,0.657984,0.685863,0.718593
2.25,0.715846,0.656535,0.686213,0.71986
1.75,0.719997,0.697856,0.647959,0.71397
1.75,0.721675,0.699428,0.647639,0.712993
1.75,0.7205,0.697795,0.648356,0.713985
1.75,0.720272,0.697398,0.647974,0.714519
1.75,0.720348,0.697597,0.647822,0.713741
1.75,0.7196,0.697124,0.647227,0.713603
1.75,0.718929,0.696529,0.646769,0.712779
1.75,0.720745,0.699596,0.648814,0.713222
1.75,0.721492,0.699916,0.648859,0.712932
1.75,0.720165,0.697276,0.647547,0.713344
1.75,0.720088,0.697124,0.646693,0.712795
1.75,0.722118,0.699062,0.64683,0.711681
1.75,0.719539,0.697475,0.646738,0.712764
1.75,0.718898,0.697322,0.647532,0.713436
1.75,0.719905,0.698543,0.648554,0.714443
1.75,0.719387,0.696086,0.646006,0.713329
1.75,0.719905,0.69749,0.647517,0.71339
1.25,0.720943,0.715206,0.650187,0.6972
1.25,0.720394,0.714321,0.649714,0.696956
1.25,0.719234,0.713466,0.649546,0.697887
1.25,0.719081,0.712077,0.648035,0.696971
1.25,0.721447,0.717037,0.651453,0.697047
1.25,0.719234,0.713848,0.649439,0.697139
1.25,0.718669,0.714214,0.651331,0.699123
1.25,0.720913,0.717418,0.65156,0.697108
1.25,0.72253,0.716075,0.649775,0.695644
1.25,0.722225,0.715785,0.64947,0.695811
