Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,0.85599
0.07700,-0.37069,-4.28733
0.17700,-0.88772,-8.16472
0.27700,-1.38984,-9.34056
0.37700,-1.88991,-10.43386
0.47700,-2.38988,-11.49574
0.57700,-2.89022,-12.43249
0.67700,-3.39000,-13.37115
0.77700,-3.89016,-14.29216
0.87700,-4.39013,-15.09430
0.97700,-4.89000,-15.91335
1.07700,-5.38997,-16.65040
1.17700,-5.89013,-17.32128
1.27700,-6.38991,-17.98460
1.37700,-6.88978,-18.56400
1.47700,-7.39003,-19.21299
1.57700,-7.88972,-19.78037
1.67700,-8.38997,-20.37901
1.77700,-8.89012,-20.92465
1.87700,-9.38991,-21.46928
1.97700,-9.88997,-21.94646
2.07700,-10.39013,-22.46877
2.17700,-10.89000,-22.97416
2.27700,-11.39006,-23.42989
2.37700,-11.89013,-23.90652
2.47700,-12.38991,-24.42156
2.57700,-12.88988,-24.84008
2.67700,-13.39003,-25.33465
2.77700,-13.89000,-25.80269
2.87700,-14.39006,-26.29211
2.97700,-14.89013,-26.73766
3.07700,-15.39000,-27.19580
3.17700,-15.89006,-27.62974
3.27700,-16.39003,-28.13719
3.37700,-16.88991,-28.60926
3.47700,-17.38987,-29.10287
3.57700,-17.88994,-29.55753
3.67700,-18.38991,-30.05346
3.77700,-18.88997,-30.51609
3.87700,-19.39012,-30.96269
3.97700,-19.88991,-31.45133
4.07700,-20.38997,-31.89820
4.17700,-20.89013,-32.38095
4.27700,-21.38991,-32.85957
4.37700,-21.89006,-33.36131
4.47700,-22.39003,-33.87224
4.57700,-22.89000,-34.40308
4.67700,-23.38997,-34.92331
4.77700,-23.89013,-35.41640
4.87700,-24.38991,-35.99358
4.97700,-24.88997,-36.51696
5.07700,-25.39013,-37.06162
5.17700,-25.89000,-37.60363
5.27700,-26.38997,-38.15967
5.37700,-26.89013,-38.72452
5.47700,-27.38991,-39.27439
5.57700,-27.88997,-39.79788
5.67700,-28.39003,-40.40049
5.77700,-28.89000,-40.99261
5.87700,-29.38997,-41.57305
5.97700,-29.88984,-42.14977
6.07700,-30.39000,-42.76266
6.17700,-30.88997,-43.38983
6.27700,-31.39013,-43.97017
6.37700,-31.89000,-44.61102
6.47700,-32.38997,-45.21581
6.57700,-32.89003,-45.87765
6.67700,-33.38981,-46.52098
6.77700,-33.88997,-47.18300
6.87700,-34.39013,-47.85161
6.97700,-34.88991,-48.52258
7.07700,-35.38997,-49.23433
7.17700,-35.89003,-49.90351
7.27700,-36.39000,-50.62194
7.37700,-36.88997,-51.38807
7.47700,-37.39003,-52.12851
7.57700,-37.89010,-52.87139
7.67700,-38.38997,-53.65383
7.77700,-38.89003,-54.41457
7.87700,-39.39000,-55.24811
7.97700,-39.88988,-56.05063
8.07700,-40.39013,-56.89223
8.17700,-40.89000,-57.79627
8.27700,-41.38997,-58.65139
8.37700,-41.89003,-59.52924
8.47700,-42.38991,-60.44299
8.57700,-42.88997,-61.35160
8.67700,-43.39003,-62.28546
8.77700,-43.88991,-63.20086
8.87700,-44.38978,-64.15967
8.97700,-44.89022,-65.11440
9.07700,-45.38991,-66.14725
9.17700,-45.89006,-67.13598
9.21800,-46.09500,-67.55864
