Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,1.02487
0.05900,-0.54169,-4.11417
0.15900,-1.59300,-9.12159
0.25900,-2.59875,-11.35338
0.35900,-3.60000,-13.21977
0.45900,-4.60003,-14.97217
0.55900,-5.59978,-16.45324
0.65900,-6.60028,-17.78031
0.75900,-7.60013,-18.99700
0.85900,-8.59959,-20.13853
0.95900,-9.60028,-21.25744
1.05900,-10.60013,-22.25437
1.15900,-11.59978,-23.26458
1.25900,-12.60019,-24.21735
1.35900,-13.60003,-25.15549
1.45900,-14.59959,-26.05784
1.55900,-15.60028,-27.04350
1.65900,-16.59985,-27.97378
1.75900,-17.59959,-28.92165
1.85900,-18.60019,-29.85591
1.95900,-19.60013,-30.74627
2.05900,-20.59978,-31.65283
2.15900,-21.60009,-32.62548
2.25900,-22.59994,-33.58157
2.35900,-23.59969,-34.59487
2.45900,-24.60019,-35.62453
2.55900,-25.60013,-36.67669
2.65900,-26.59960,-37.74446
2.75900,-27.60009,-38.86075
2.85900,-28.60003,-39.93704
2.95900,-29.59978,-41.09117
3.05900,-30.60038,-42.32390
3.15900,-31.60013,-43.51221
3.25900,-32.59969,-44.70464
3.35900,-33.60019,-45.97977
3.45900,-34.60013,-47.33342
3.55900,-35.59978,-48.66769
3.65900,-36.60019,-50.05568
3.75900,-37.59994,-51.54251
3.85900,-38.59960,-52.96611
3.95900,-39.60028,-54.56353
4.05900,-40.60012,-56.22404
4.15900,-41.59969,-57.79627
4.25900,-42.60010,-59.62427
4.35900,-43.60003,-61.44562
4.45900,-44.59969,-63.35891
4.55900,-45.60028,-65.22277
4.60300,-46.03988,-66.18371
