Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,0.36625
0.10000,-0.19669,-2.56872
0.20000,-0.40153,-4.08531
0.30000,-0.60197,-4.82734
0.40000,-0.80203,-5.12248
0.50000,-1.00200,-5.42388
0.60000,-1.20206,-5.74144
0.70000,-1.40203,-6.01834
0.80000,-1.60200,-6.33990
0.90000,-1.80197,-6.57033
1.00000,-2.00203,-6.87569
1.10000,-2.20200,-7.09026
1.20000,-2.40188,-7.34679
1.30000,-2.60194,-7.58305
1.40000,-2.80200,-7.83912
1.50000,-3.00197,-8.03837
1.60000,-3.20194,-8.28217
1.70000,-3.40200,-8.50574
1.80000,-3.60197,-8.72102
1.90000,-3.80213,-8.93131
2.00000,-4.00200,-9.14720
2.10000,-4.20197,-9.33199
2.20000,-4.40213,-9.55478
2.30000,-4.60209,-9.74758
2.40000,-4.80206,-9.94859
2.50000,-5.00194,-10.12555
2.60000,-5.20200,-10.32931
2.70000,-5.40197,-10.50411
2.80000,-5.60203,-10.69389
2.90000,-5.80200,-10.85259
3.00000,-6.00197,-11.03376
3.10000,-6.20194,-11.18420
3.20000,-6.40191,-11.36902
3.30000,-6.60206,-11.52839
3.40000,-6.80184,-11.66647
3.50000,-7.00191,-11.81071
3.60000,-7.20206,-11.97844
3.70000,-7.40203,-12.11597
3.80000,-7.60209,-12.26169
3.90000,-7.80197,-12.42452
4.00000,-8.00203,-12.56647
4.10000,-8.20191,-12.67913
4.20000,-8.40178,-12.85601
4.30000,-8.60194,-12.98526
4.40000,-8.80200,-13.12274
4.50000,-9.00188,-13.26032
4.60000,-9.20203,-13.38864
4.70000,-9.40200,-13.49133
4.80000,-9.60206,-13.64840
4.90000,-9.80203,-13.78382
5.00000,-10.00200,-13.90521
5.10000,-10.20197,-14.05160
5.20000,-10.40203,-14.17681
5.30000,-10.60200,-14.30541
5.40000,-10.80206,-14.45295
5.50000,-11.00203,-14.57254
5.60000,-11.20191,-14.68784
5.70000,-11.40197,-14.80243
5.80000,-11.60203,-14.93054
5.90000,-11.80191,-15.04711
6.00000,-12.00197,-15.18427
6.10000,-12.20194,-15.29904
6.20000,-12.40200,-15.41579
6.30000,-12.60197,-15.51311
6.40000,-12.80203,-15.63629
6.50000,-13.00181,-15.74193
6.60000,-13.20197,-15.88705
6.70000,-13.40203,-15.98287
6.80000,-13.60200,-16.10432
6.90000,-13.80206,-16.19662
7.00000,-14.00213,-16.31128
7.10000,-14.20219,-16.41127
7.20000,-14.40206,-16.53421
7.30000,-14.60184,-16.63613
7.40000,-14.80228,-16.77018
7.50000,-15.00206,-16.88979
7.60000,-15.20194,-17.00624
7.70000,-15.40191,-17.08576
7.80000,-15.60197,-17.20614
7.90000,-15.80213,-17.30691
8.00000,-16.00200,-17.43333
8.10000,-16.20197,-17.55029
8.20000,-16.40203,-17.66304
8.30000,-16.60200,-17.78516
8.40000,-16.80206,-17.92035
8.50000,-17.00194,-17.98527
8.60000,-17.20200,-18.12331
8.70000,-17.40188,-18.21974
8.80000,-17.60194,-18.33408
8.90000,-17.80200,-18.41190
9.00000,-18.00197,-18.57355
9.10000,-18.20194,-18.62941
9.20000,-18.40191,-18.76364
9.30000,-18.60197,-18.85355
9.40000,-18.80203,-18.98514
9.50000,-19.00200,-19.08571
9.60000,-19.20206,-19.21224
9.70000,-19.40203,-19.31611
9.80000,-19.60200,-19.45231
9.90000,-19.80197,-19.55686
10.00000,-20.00203,-19.68029
10.10000,-20.20200,-19.77238
10.20000,-20.40197,-19.87968
10.30000,-20.60194,-19.98868
10.40000,-20.80200,-20.10733
10.50000,-21.00206,-20.22500
10.60000,-21.20203,-20.34321
10.70000,-21.40191,-20.45448
10.80000,-21.60178,-20.57244
10.90000,-21.80213,-20.68874
11.00000,-22.00191,-20.79822
11.10000,-22.20178,-20.91856
11.20000,-22.40213,-21.02917
11.30000,-22.60200,-21.17481
11.40000,-22.80206,-21.29099
11.50000,-23.00203,-21.37667
11.60000,-23.20191,-21.52494
11.70000,-23.40197,-21.63673
11.80000,-23.60194,-21.76179
11.90000,-23.80200,-21.88771
12.00000,-24.00206,-22.00321
12.10000,-24.20203,-22.12580
12.20000,-24.40200,-22.26622
12.30000,-24.60197,-22.38115
12.40000,-24.80203,-22.51160
12.50000,-25.00200,-22.63241
12.60000,-25.20206,-22.77194
12.70000,-25.40203,-22.89557
12.80000,-25.60209,-23.06817
12.90000,-25.80206,-23.17301
13.00000,-26.00203,-23.30764
13.10000,-26.20200,-23.42681
13.20000,-26.40197,-23.58917
13.30000,-26.60194,-23.69913
13.40000,-26.80200,-23.83623
13.50000,-27.00197,-23.99621
13.60000,-27.20194,-24.12551
13.70000,-27.40200,-24.24151
13.80000,-27.60197,-24.39236
13.90000,-27.80185,-24.51902
14.00000,-28.00200,-24.67401
14.10000,-28.20197,-24.82465
14.20000,-28.40194,-24.99708
14.30000,-28.60200,-25.12795
14.40000,-28.80197,-25.26264
14.50000,-29.00203,-25.41879
14.60000,-29.20200,-25.58270
14.70000,-29.40169,-25.73440
14.80000,-29.60250,-25.91345
14.90000,-29.80191,-26.06039
15.00000,-30.00178,-26.24096
15.10000,-30.20213,-26.38542
15.20000,-30.40200,-26.55338
15.30000,-30.60206,-26.70462
15.40000,-30.80203,-26.87200
15.50000,-31.00200,-27.02653
15.60000,-31.20216,-27.18073
15.70000,-31.40203,-27.34504
15.80000,-31.60200,-27.51743
15.90000,-31.80206,-27.64462
16.00000,-32.00203,-27.81758
16.10000,-32.20200,-27.99234
16.20000,-32.40197,-28.18325
16.30000,-32.60184,-28.34555
16.40000,-32.80200,-28.53584
16.50000,-33.00197,-28.69746
16.60000,-33.20194,-28.84109
16.70000,-33.40191,-28.98310
16.80000,-33.60206,-29.16718
16.90000,-33.80203,-29.32753
17.00000,-34.00200,-29.50709
17.10000,-34.20197,-29.63668
17.20000,-34.40203,-29.83273
17.30000,-34.60209,-30.02937
17.40000,-34.80197,-30.21291
17.50000,-35.00203,-30.37840
17.60000,-35.20209,-30.55348
17.70000,-35.40197,-30.73100
17.80000,-35.60194,-30.91661
17.90000,-35.80200,-31.13427
18.00000,-36.00197,-31.29027
18.10000,-36.20203,-31.47416
18.20000,-36.40200,-31.65605
18.30000,-36.60197,-31.84142
18.40000,-36.80203,-32.03963
18.50000,-37.00191,-32.20317
18.60000,-37.20197,-32.42569
18.70000,-37.40213,-32.63705
18.80000,-37.60191,-32.80569
18.90000,-37.80216,-33.00033
19.00000,-38.00203,-33.18771
19.10000,-38.20210,-33.39671
19.20000,-38.40178,-33.54171
19.30000,-38.60194,-33.77132
19.40000,-38.80209,-33.92614
19.50000,-39.00206,-34.13258
19.60000,-39.20203,-34.30085
19.70000,-39.40209,-34.53487
19.80000,-39.60206,-34.72728
19.90000,-39.80213,-34.95755
20.00000,-40.00191,-35.12563
20.10000,-40.20206,-35.37716
20.20000,-40.40213,-35.57286
20.30000,-40.60200,-35.78381
20.40000,-40.80207,-35.97378
20.50000,-41.00203,-36.21987
20.60000,-41.20191,-36.47551
20.70000,-41.40197,-36.59966
20.80000,-41.60184,-36.78138
20.90000,-41.80191,-37.03486
21.00000,-42.00197,-37.20789
21.10000,-42.20203,-37.42556
21.20000,-42.40200,-37.60302
21.30000,-42.60197,-37.82221
21.40000,-42.80203,-38.06913
21.50000,-43.00200,-38.33345
21.60000,-43.20187,-38.54275
21.70000,-43.40194,-38.70412
21.80000,-43.60200,-39.02762
21.90000,-43.80197,-39.25600
22.00000,-44.00203,-39.42858
22.10000,-44.20200,-39.69133
22.20000,-44.40197,-39.90116
22.30000,-44.60194,-40.11605
22.40000,-44.80200,-40.34091
22.50000,-45.00207,-40.60864
22.60000,-45.20185,-40.85695
22.70000,-45.40200,-41.10815
22.74300,-45.48806,-41.19038
