Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,-1.38880
0.10000,-0.19669,-5.28823
0.20000,-0.40144,-6.26464
0.30000,-0.60197,-7.22485
0.40000,-0.80213,-7.89421
0.50000,-1.00209,-8.21803
0.60000,-1.20206,-8.54019
0.70000,-1.40203,-8.85335
0.80000,-1.60209,-9.16321
0.90000,-1.80197,-9.38267
1.00000,-2.00194,-9.71486
1.10000,-2.20200,-9.96193
1.20000,-2.40188,-10.20440
1.30000,-2.60194,-10.41852
1.40000,-2.80200,-10.67117
1.50000,-3.00197,-10.91979
1.60000,-3.20194,-11.10754
1.70000,-3.40181,-11.34313
1.80000,-3.60206,-11.53519
1.90000,-3.80213,-11.72199
2.00000,-4.00200,-11.92172
2.10000,-4.20206,-12.07617
2.20000,-4.40203,-12.29444
2.30000,-4.60209,-12.46788
2.40000,-4.80206,-12.62483
2.50000,-5.00194,-12.84386
2.60000,-5.20200,-13.05056
2.70000,-5.40197,-13.21650
2.80000,-5.60194,-13.34151
2.90000,-5.80209,-13.48699
3.00000,-6.00197,-13.65940
3.10000,-6.20184,-13.84505
3.20000,-6.40191,-14.00508
3.30000,-6.60216,-14.21971
3.40000,-6.80194,-14.43760
3.50000,-7.00191,-14.61363
3.60000,-7.20206,-14.85058
3.70000,-7.40203,-15.04244
3.80000,-7.60209,-15.21265
3.90000,-7.80197,-15.38341
4.00000,-8.00203,-15.56003
4.10000,-8.20200,-15.72940
4.20000,-8.40188,-15.92479
4.30000,-8.60194,-16.07731
4.40000,-8.80200,-16.25478
4.50000,-9.00197,-16.37531
4.60000,-9.20194,-16.56044
4.70000,-9.40191,-16.72524
4.80000,-9.60206,-16.88240
4.90000,-9.80213,-17.03738
5.00000,-10.00200,-17.19775
5.10000,-10.20197,-17.35291
5.20000,-10.40203,-17.48752
5.30000,-10.60200,-17.61676
5.40000,-10.80206,-17.77364
5.50000,-11.00203,-17.89360
5.60000,-11.20200,-18.07903
5.70000,-11.40206,-18.18605
5.80000,-11.60203,-18.30344
5.90000,-11.80200,-18.44205
