Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,0.90000
0.07800,-0.75356,-4.11211
0.17800,-1.78509,-6.30744
0.27800,-2.78944,-7.64309
0.37800,-3.79022,-8.78697
0.47800,-4.78978,-9.88447
0.57800,-5.79019,-10.88872
0.67800,-6.79022,-11.75715
0.77800,-7.78969,-12.52728
0.87800,-8.79009,-13.26119
0.97800,-9.79022,-13.93412
1.07800,-10.78978,-14.63992
1.17800,-11.79009,-15.28425
1.27800,-12.79022,-15.89686
1.37800,-13.78978,-16.50779
1.47800,-14.79000,-17.11680
1.57800,-15.79022,-17.70530
1.67800,-16.78959,-18.32003
1.77800,-17.79000,-18.92022
1.87800,-18.79022,-19.52592
1.97800,-19.78978,-20.16276
2.07800,-20.79019,-20.80695
2.17800,-21.79013,-21.51344
2.27800,-22.78969,-22.19653
2.37800,-23.79010,-22.84027
2.47800,-24.79012,-23.50734
2.57800,-25.78978,-24.26438
2.67800,-26.79000,-24.99918
2.77800,-27.79013,-25.77581
2.87800,-28.78969,-26.58242
2.97800,-29.79000,-27.41603
3.07800,-30.79041,-28.29141
3.17800,-31.78969,-29.20326
3.27800,-32.79000,-30.13680
3.37800,-33.79013,-31.06335
3.47800,-34.78978,-32.09452
3.57800,-35.79019,-33.08065
3.67800,-36.79022,-34.15117
3.77800,-37.78959,-35.22873
3.87800,-38.79000,-36.30768
3.97800,-39.79031,-37.40663
4.07800,-40.78978,-38.62992
4.17800,-41.78991,-39.82521
4.27800,-42.79013,-40.96079
4.37800,-43.78969,-42.31923
4.47800,-44.79010,-43.60359
4.57800,-45.79031,-45.02521
4.67800,-46.78969,-46.51244
4.77800,-47.78991,-47.79941
4.77900,-47.79994,-47.81572
