Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,0.72779
0.10000,-0.49284,-3.68942
0.20000,-1.00359,-5.42382
0.30000,-1.50497,-6.18326
0.40000,-2.00503,-6.90603
0.50000,-2.50491,-7.57175
0.60000,-3.00497,-8.17803
0.70000,-3.50494,-8.76364
0.80000,-4.00500,-9.30997
0.90000,-4.50506,-9.84827
1.00000,-5.00512,-10.38562
1.10000,-5.50500,-10.88264
1.20000,-6.00516,-11.34744
1.30000,-6.50503,-11.80833
1.40000,-7.00472,-12.18371
1.50000,-7.50516,-12.61750
1.60000,-8.00503,-12.95092
1.70000,-8.50491,-13.30053
1.80000,-9.00516,-13.67864
1.90000,-9.50503,-14.01887
2.00000,-10.00481,-14.38795
2.10000,-10.50506,-14.74403
2.20000,-11.00513,-15.08031
2.30000,-11.50491,-15.39208
2.40000,-12.00506,-15.71303
2.50000,-12.50503,-16.03261
2.60000,-13.00481,-16.32105
2.70000,-13.50506,-16.66425
2.80000,-14.00513,-16.93607
2.90000,-14.50481,-17.24692
3.00000,-15.00506,-17.58924
3.10000,-15.50513,-17.88583
3.20000,-16.00500,-18.20788
3.30000,-16.50497,-18.53861
3.40000,-17.00503,-18.84527
3.50000,-17.50491,-19.16473
3.60000,-18.00506,-19.50763
3.70000,-18.50503,-19.81932
3.80000,-19.00491,-20.14721
3.90000,-19.50506,-20.51576
4.00000,-20.00503,-20.87219
4.10000,-20.50500,-21.20238
4.20000,-21.00497,-21.57422
4.30000,-21.50503,-21.98233
4.40000,-22.00500,-22.33292
4.50000,-22.50506,-22.72324
4.60000,-23.00522,-23.04463
4.70000,-23.50491,-23.45161
4.80000,-24.00516,-23.81001
4.90000,-24.50513,-24.16413
5.00000,-25.00500,-24.56211
5.10000,-25.50506,-24.96291
5.20000,-26.00503,-25.35861
5.30000,-26.50491,-25.78663
5.40000,-27.00516,-26.18688
5.50000,-27.50494,-26.59661
5.60000,-28.00500,-27.00078
5.70000,-28.50497,-27.43068
5.80000,-29.00503,-27.88215
5.90000,-29.50481,-28.30656
6.00000,-30.00488,-28.76225
6.10000,-30.50513,-29.21562
6.20000,-31.00491,-29.66610
6.30000,-31.50506,-30.17442
6.40000,-32.00503,-30.62977
6.50000,-32.50491,-31.14326
6.60000,-33.00506,-31.64644
6.70000,-33.50503,-32.11656
6.80000,-34.00491,-32.63175
6.90000,-34.50516,-33.15703
7.00000,-35.00503,-33.68891
7.10000,-35.50500,-34.15379
7.20000,-36.00516,-34.69047
7.30000,-36.50513,-35.28348
7.40000,-37.00491,-35.81681
7.50000,-37.50497,-36.55188
7.60000,-38.00512,-37.04160
7.70000,-38.50481,-37.52586
7.80000,-39.00506,-38.05064
7.90000,-39.50513,-38.63286
8.00000,-40.00491,-39.19683
8.10000,-40.50506,-39.83384
8.20000,-41.00513,-40.51829
8.30000,-41.50491,-41.23137
8.40000,-42.00497,-41.73313
8.50000,-42.50503,-42.31169
8.60000,-43.00500,-42.96405
8.70000,-43.50507,-43.57248
8.80000,-44.00503,-44.33310
8.90000,-44.50491,-44.99710
9.00000,-45.00516,-45.70132
9.10000,-45.50513,-46.45605
9.20000,-46.00500,-46.98560
9.24500,-46.23000,-47.25631
