Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,0.67513
0.06300,-0.86897,-4.33473
0.16300,-2.87194,-7.50560
0.26300,-4.87341,-9.83823
0.36300,-6.87431,-11.68210
0.46300,-8.87372,-13.18634
0.56300,-10.87359,-14.56473
0.66300,-12.87431,-15.89124
0.76300,-14.87381,-17.01809
0.86300,-16.87331,-18.20775
0.96300,-18.87413,-19.36293
1.06300,-20.87409,-20.57386
1.16300,-22.87341,-21.94599
1.26300,-24.87441,-23.22399
1.36300,-26.87372,-24.63976
1.46300,-28.87341,-26.15612
1.56300,-30.87450,-27.83507
1.66300,-32.87372,-29.53645
1.76300,-34.87341,-31.38405
1.86300,-36.87431,-33.43540
1.96300,-38.87372,-35.53333
2.06300,-40.87369,-37.74678
2.16300,-42.87422,-39.94351
2.26300,-44.87382,-42.44728
2.36300,-46.87341,-45.22041
2.46300,-48.87422,-48.11602
2.46900,-48.99384,-48.29165
