Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,0.51104
0.10000,-0.19669,-2.24308
0.20000,-0.40144,-3.80611
0.30000,-0.60197,-4.66499
0.40000,-0.80203,-4.99968
0.50000,-1.00200,-5.29480
0.60000,-1.20188,-5.58790
0.70000,-1.40203,-5.90514
0.80000,-1.60200,-6.18869
0.90000,-1.80188,-6.46301
1.00000,-2.00194,-6.72336
1.10000,-2.20181,-6.99990
1.20000,-2.40178,-7.21196
1.30000,-2.60175,-7.46853
1.40000,-2.80209,-7.70044
1.50000,-3.00178,-7.92286
1.60000,-3.20184,-8.13391
1.70000,-3.40200,-8.38795
1.80000,-3.60197,-8.59265
1.90000,-3.80203,-8.79902
2.00000,-4.00191,-9.00870
2.10000,-4.20197,-9.20990
2.20000,-4.40203,-9.41951
2.30000,-4.60200,-9.62559
2.40000,-4.80197,-9.79774
2.50000,-5.00184,-10.00450
2.60000,-5.20191,-10.15068
2.70000,-5.40188,-10.35090
2.80000,-5.60184,-10.49642
2.90000,-5.80200,-10.71555
3.00000,-6.00197,-10.87753
3.10000,-6.20184,-11.04812
3.20000,-6.40200,-11.19930
3.30000,-6.60197,-11.35727
3.40000,-6.80184,-11.52276
3.50000,-7.00191,-11.67195
3.60000,-7.20197,-11.83649
3.70000,-7.40203,-11.98634
3.80000,-7.60200,-12.12077
3.90000,-7.80178,-12.27787
4.00000,-8.00203,-12.38706
4.10000,-8.20191,-12.55207
4.20000,-8.40188,-12.69448
4.30000,-8.60184,-12.83302
4.40000,-8.80191,-12.95523
4.50000,-9.00188,-13.12773
4.60000,-9.20184,-13.22797
4.70000,-9.40191,-13.36846
4.80000,-9.60197,-13.48063
4.90000,-9.80203,-13.64681
5.00000,-10.00181,-13.76961
5.10000,-10.20188,-13.91162
5.20000,-10.40203,-14.03627
5.30000,-10.60181,-14.17360
5.40000,-10.80197,-14.29669
5.50000,-11.00194,-14.43694
5.60000,-11.20191,-14.53255
5.70000,-11.40197,-14.65619
5.80000,-11.60203,-14.79545
5.90000,-11.80191,-14.91833
6.00000,-12.00197,-15.03547
6.10000,-12.20194,-15.15046
6.20000,-12.40191,-15.25398
6.30000,-12.60197,-15.37915
6.40000,-12.80194,-15.49196
6.50000,-13.00191,-15.63001
6.60000,-13.20188,-15.74645
6.70000,-13.40184,-15.86684
6.80000,-13.60181,-15.96944
6.90000,-13.80197,-16.08191
7.00000,-14.00194,-16.18709
7.10000,-14.20209,-16.30673
7.20000,-14.40197,-16.40760
7.30000,-14.60184,-16.51826
7.40000,-14.80200,-16.64672
7.50000,-15.00188,-16.78446
7.60000,-15.20194,-16.86443
7.70000,-15.40181,-16.98662
7.80000,-15.60188,-17.07478
7.90000,-15.80203,-17.20130
8.00000,-16.00200,-17.30059
8.10000,-16.20197,-17.42858
8.20000,-16.40194,-17.55654
8.30000,-16.60191,-17.67967
8.40000,-16.80188,-17.78234
8.50000,-17.00184,-17.89304
8.60000,-17.20200,-18.00646
8.70000,-17.40188,-18.11452
8.80000,-17.60175,-18.23938
8.90000,-17.80191,-18.32705
9.00000,-18.00197,-18.43876
9.10000,-18.20184,-18.57200
9.20000,-18.40181,-18.64458
9.30000,-18.60188,-18.77463
9.40000,-18.80203,-18.87032
9.50000,-19.00191,-18.99668
9.60000,-19.20197,-19.12362
9.70000,-19.40194,-19.26169
9.80000,-19.60191,-19.37789
9.90000,-19.80197,-19.48532
10.00000,-20.00194,-19.60224
10.10000,-20.20200,-19.71882
10.20000,-20.40188,-19.82203
10.30000,-20.60184,-19.94435
10.40000,-20.80191,-20.06460
10.50000,-21.00197,-20.18326
10.60000,-21.20194,-20.28730
10.70000,-21.40191,-20.43499
10.80000,-21.60188,-20.53817
10.90000,-21.80203,-20.66112
11.00000,-22.00191,-20.75094
11.10000,-22.20178,-20.88444
11.20000,-22.40194,-21.00849
11.30000,-22.60200,-21.14125
11.40000,-22.80197,-21.25785
11.50000,-23.00194,-21.38419
11.60000,-23.20181,-21.51616
11.70000,-23.40188,-21.63703
11.80000,-23.60175,-21.76822
11.90000,-23.80200,-21.89118
12.00000,-24.00197,-22.02390
12.10000,-24.20184,-22.14126
12.20000,-24.40191,-22.27147
12.30000,-24.60188,-22.39081
12.40000,-24.80203,-22.52502
12.50000,-25.00200,-22.64298
12.60000,-25.20188,-22.79584
12.70000,-25.40203,-22.93758
12.80000,-25.60191,-23.08962
12.90000,-25.80197,-23.20385
13.00000,-26.00194,-23.34384
13.10000,-26.20200,-23.48419
13.20000,-26.40188,-23.62271
13.30000,-26.60185,-23.76097
13.40000,-26.80200,-23.88616
13.50000,-27.00197,-24.03365
13.60000,-27.20194,-24.17736
13.70000,-27.40191,-24.33659
13.80000,-27.60197,-24.45519
13.90000,-27.80194,-24.61870
14.00000,-28.00191,-24.74546
14.10000,-28.20188,-24.91950
14.20000,-28.40194,-25.06379
14.30000,-28.60181,-25.22763
14.40000,-28.80188,-25.37771
14.50000,-29.00185,-25.52794
14.60000,-29.20200,-25.68400
14.70000,-29.40197,-25.86919
14.80000,-29.60184,-26.03910
14.90000,-29.80181,-26.18438
15.00000,-30.00188,-26.36728
15.10000,-30.20194,-26.51089
15.20000,-30.40200,-26.67540
15.30000,-30.60197,-26.83686
15.40000,-30.80203,-27.00347
15.50000,-31.00181,-27.16173
15.60000,-31.20197,-27.32730
15.70000,-31.40194,-27.49820
15.80000,-31.60191,-27.64483
15.90000,-31.80197,-27.78793
16.00000,-32.00194,-27.94646
16.10000,-32.20200,-28.14651
16.20000,-32.40178,-28.32773
16.30000,-32.60166,-28.49310
16.40000,-32.80209,-28.70007
16.50000,-33.00197,-28.85925
16.60000,-33.20194,-28.98249
16.70000,-33.40200,-29.13867
16.80000,-33.60197,-29.31761
16.90000,-33.80194,-29.47972
17.00000,-34.00191,-29.64378
17.10000,-34.20197,-29.81884
17.20000,-34.40194,-29.99730
17.30000,-34.60200,-30.19153
17.40000,-34.80197,-30.37656
17.50000,-35.00194,-30.55708
17.60000,-35.20200,-30.73727
17.70000,-35.40188,-30.89831
17.80000,-35.60194,-31.07299
17.90000,-35.80191,-31.27152
18.00000,-36.00197,-31.45111
18.10000,-36.20194,-31.64821
18.20000,-36.40191,-31.85179
18.30000,-36.60197,-32.03410
18.40000,-36.80194,-32.20775
18.50000,-37.00191,-32.41213
18.60000,-37.20206,-32.60640
18.70000,-37.40194,-32.84092
18.80000,-37.60191,-32.98501
18.90000,-37.80206,-33.20455
19.00000,-38.00185,-33.38732
19.10000,-38.20200,-33.60657
19.20000,-38.40178,-33.74678
19.30000,-38.60175,-33.97458
19.40000,-38.80200,-34.16529
19.50000,-39.00197,-34.34813
19.60000,-39.20194,-34.55209
19.70000,-39.40181,-34.77578
19.80000,-39.60206,-34.96456
19.90000,-39.80194,-35.16619
20.00000,-40.00181,-35.36012
20.10000,-40.20197,-35.61891
20.20000,-40.40203,-35.78064
20.30000,-40.60200,-36.00872
20.40000,-40.80197,-36.23362
20.50000,-41.00194,-36.46079
20.60000,-41.20191,-36.72417
20.70000,-41.40188,-36.85587
20.80000,-41.60184,-37.04801
20.90000,-41.80191,-37.29763
21.00000,-42.00188,-37.45193
21.10000,-42.20185,-37.67240
21.20000,-42.40191,-37.86542
21.30000,-42.60188,-38.06412
21.40000,-42.80194,-38.31492
21.50000,-43.00191,-38.60158
21.60000,-43.20178,-38.77143
21.70000,-43.40194,-38.97632
21.80000,-43.60191,-39.26024
21.90000,-43.80188,-39.47225
22.00000,-44.00194,-39.62783
22.10000,-44.20200,-39.88881
22.20000,-44.40169,-40.09270
22.30000,-44.60194,-40.39550
22.40000,-44.80191,-40.62606
22.50000,-45.00188,-40.86931
22.60000,-45.20175,-41.12006
22.70000,-45.40191,-41.37188
22.77700,-45.55584,-41.53799
