Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,-0.70515
0.10000,-1.60856,-2.26584
0.20000,-3.61584,-3.29709
0.30000,-5.61656,-4.15833
0.40000,-7.61728,-4.82977
0.50000,-9.61688,-5.46583
0.60000,-11.61647,-6.04745
0.70000,-13.61728,-6.49953
0.80000,-15.61697,-6.96434
0.90000,-17.61638,-7.37851
1.00000,-19.61747,-7.75951
1.10000,-21.61669,-8.18965
1.20000,-23.61638,-8.59144
1.30000,-25.61747,-9.04574
1.40000,-27.61678,-9.51867
1.50000,-29.61656,-10.02375
1.60000,-31.61728,-10.56015
1.70000,-33.61659,-11.09371
1.80000,-35.61666,-11.59896
1.90000,-37.61738,-12.15918
2.00000,-39.61688,-12.77180
2.10000,-41.61638,-13.40243
2.20000,-43.61710,-14.08187
2.30000,-45.61706,-14.78201
2.40000,-47.61638,-15.57588
2.43600,-48.33647,-15.83780
