Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,-0.84761
0.10000,-0.49284,-1.66656
0.20000,-1.00359,-2.02477
0.30000,-1.50488,-2.36885
0.40000,-2.00503,-2.65262
0.50000,-2.50491,-2.91665
0.60000,-3.00506,-3.16073
0.70000,-3.50503,-3.38745
0.80000,-4.00509,-3.61459
0.90000,-4.50497,-3.83582
1.00000,-5.00512,-4.00501
1.10000,-5.50500,-4.20053
1.20000,-6.00516,-4.38004
1.30000,-6.50513,-4.54573
1.40000,-7.00472,-4.70422
1.50000,-7.50516,-4.84984
1.60000,-8.00494,-4.98506
1.70000,-8.50491,-5.14700
1.80000,-9.00516,-5.27894
1.90000,-9.50503,-5.41714
2.00000,-10.00491,-5.57505
2.10000,-10.50516,-5.70597
2.20000,-11.00513,-5.81910
2.30000,-11.50500,-5.97417
2.40000,-12.00506,-6.08635
2.50000,-12.50503,-6.18577
2.60000,-13.00481,-6.28718
2.70000,-13.50497,-6.40243
2.80000,-14.00513,-6.53850
2.90000,-14.50481,-6.63800
3.00000,-15.00506,-6.73409
3.10000,-15.50503,-6.85912
3.20000,-16.00500,-6.97080
3.30000,-16.50506,-7.07490
3.40000,-17.00503,-7.17326
3.50000,-17.50481,-7.27245
3.60000,-18.00506,-7.35975
3.70000,-18.50503,-7.45109
3.80000,-19.00500,-7.56708
3.90000,-19.50506,-7.63401
4.00000,-20.00503,-7.71861
4.10000,-20.50500,-7.83354
4.20000,-21.00516,-7.95265
4.30000,-21.50503,-8.06121
4.40000,-22.00509,-8.17462
4.50000,-22.50506,-8.26963
4.60000,-23.00513,-8.38183
4.70000,-23.50500,-8.47656
4.80000,-24.00516,-8.58994
4.90000,-24.50484,-8.71519
5.00000,-25.00491,-8.81758
5.10000,-25.50516,-8.94475
5.20000,-26.00503,-9.04485
5.30000,-26.50491,-9.18650
5.40000,-27.00516,-9.29865
5.50000,-27.50503,-9.43160
5.60000,-28.00491,-9.53517
5.70000,-28.50497,-9.65714
5.80000,-29.00503,-9.77806
5.90000,-29.50500,-9.92656
6.00000,-30.00488,-10.01952
6.10000,-30.50513,-10.16026
6.20000,-31.00500,-10.28565
6.30000,-31.50506,-10.42183
6.40000,-32.00503,-10.54612
6.50000,-32.50491,-10.65661
6.60000,-33.00497,-10.77528
6.70000,-33.50513,-10.90592
6.80000,-34.00491,-11.03514
6.90000,-34.50516,-11.16925
7.00000,-35.00513,-11.26912
7.10000,-35.50509,-11.42180
7.20000,-36.00516,-11.54449
7.30000,-36.50503,-11.66982
7.40000,-37.00491,-11.82238
7.50000,-37.50488,-11.96803
7.60000,-38.00522,-12.11713
7.70000,-38.50491,-12.26963
7.80000,-39.00516,-12.42087
7.90000,-39.50513,-12.55661
8.00000,-40.00491,-12.72087
8.10000,-40.50506,-12.87575
8.20000,-41.00513,-13.02935
8.30000,-41.50491,-13.22248
8.40000,-42.00497,-13.37595
8.50000,-42.50503,-13.52743
8.60000,-43.00491,-13.70946
8.70000,-43.50497,-13.88443
8.80000,-44.00503,-14.06501
8.90000,-44.50491,-14.27104
9.00000,-45.00516,-14.37925
9.01600,-45.08503,-14.41764
