Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,-0.78483
0.10000,-0.98559,-1.80305
0.20000,-2.00709,-2.58376
0.30000,-3.00975,-3.12574
0.40000,-4.00988,-3.56428
0.50000,-5.01009,-3.99720
0.60000,-6.01041,-4.36627
0.70000,-7.00959,-4.68004
0.80000,-8.00981,-4.98950
0.90000,-9.01041,-5.29503
1.00000,-10.00969,-5.59694
1.10000,-11.01000,-5.87363
1.20000,-12.01022,-6.13493
1.30000,-13.00969,-6.33604
1.40000,-14.01009,-6.56956
1.50000,-15.01031,-6.79265
1.60000,-16.00978,-7.01143
1.70000,-17.00991,-7.22464
1.80000,-18.01022,-7.38949
1.90000,-19.00988,-7.59881
2.00000,-20.01000,-7.79631
2.10000,-21.01031,-8.02085
2.20000,-22.00978,-8.22105
2.30000,-23.00991,-8.42056
2.40000,-24.01041,-8.63506
2.50000,-25.00978,-8.85674
2.60000,-26.01000,-9.11642
2.70000,-27.01031,-9.35941
2.80000,-28.00978,-9.57925
2.90000,-29.01000,-9.84311
3.00000,-30.01013,-10.07894
3.10000,-31.00978,-10.32446
3.20000,-32.01000,-10.60433
3.30000,-33.01013,-10.84460
3.40000,-34.00969,-11.11355
3.50000,-35.01000,-11.38151
3.60000,-36.01031,-11.62184
3.70000,-37.00978,-11.88666
3.80000,-38.00991,-12.19869
3.90000,-39.01031,-12.51589
4.00000,-40.00978,-12.80847
4.10000,-41.01000,-13.12702
4.20000,-42.01022,-13.48149
4.30000,-43.00959,-13.78236
4.40000,-44.01000,-14.16722
4.50000,-45.01041,-14.49138
4.51300,-45.14016,-14.53018
