Time,Extension,Load
(sec),(mm),(N)
18.70000,-37.40213,-11.83669
18.80000,-37.60200,-11.92302
18.90000,-37.80216,-11.97079
19.00000,-38.00203,-12.03684
19.10000,-38.20200,-12.08258
19.20000,-38.40188,-12.18353
19.30000,-38.60185,-12.20676
19.40000,-38.80200,-12.27546
19.50000,-39.00197,-12.30629
19.60000,-39.20194,-12.39493
19.70000,-39.40200,-12.43379
19.80000,-39.60216,-12.51267
19.90000,-39.80203,-12.57721
20.00000,-40.00200,-12.64490
20.10000,-40.20206,-12.68164
20.20000,-40.40203,-12.74500
20.30000,-40.60200,-12.80303
20.40000,-40.80197,-12.88457
20.50000,-41.00203,-12.95157
20.60000,-41.20200,-13.00303
20.70000,-41.40188,-13.09710
20.80000,-41.60184,-13.15534
20.90000,-41.80200,-13.21179
21.00000,-42.00197,-13.25144
21.10000,-42.20194,-13.31369
21.20000,-42.40200,-13.38034
21.30000,-42.60197,-13.45633
21.40000,-42.80194,-13.51535
21.50000,-43.00200,-13.56779
21.60000,-43.20187,-13.63604
21.70000,-43.40194,-13.70331
21.80000,-43.60200,-13.80143
21.90000,-43.80188,-13.85378
22.00000,-44.00194,-13.95161
22.10000,-44.20191,-13.99949
22.20000,-44.40206,-14.10566
22.30000,-44.60194,-14.15722
22.40000,-44.80200,-14.21212
22.50000,-45.00197,-14.26490
22.60000,-45.20185,-14.35603
22.67900,-45.36000,-14.43573
