Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,-1.19245
0.10000,-0.19659,-1.72036
0.20000,-0.40153,-1.79021
0.30000,-0.60197,-1.92506
0.40000,-0.80203,-2.03424
0.50000,-1.00200,-2.18694
0.60000,-1.20216,-2.28811
0.70000,-1.40212,-2.43208
0.80000,-1.60209,-2.56556
0.90000,-1.80206,-2.68189
1.00000,-2.00194,-2.78907
1.10000,-2.20191,-2.87505
1.20000,-2.40188,-2.97959
1.30000,-2.60184,-3.08389
1.40000,-2.80191,-3.18068
1.50000,-3.00197,-3.29134
1.60000,-3.20184,-3.37275
1.70000,-3.40200,-3.46276
1.80000,-3.60197,-3.53437
1.90000,-3.80213,-3.61281
2.00000,-4.00200,-3.69671
2.10000,-4.20197,-3.80212
2.20000,-4.40203,-3.86724
2.30000,-4.60209,-3.95491
2.40000,-4.80197,-4.00109
2.50000,-5.00194,-4.10902
2.60000,-5.20209,-4.18020
2.70000,-5.40197,-4.24991
2.80000,-5.60203,-4.33425
2.90000,-5.80209,-4.41439
3.00000,-6.00206,-4.47221
3.10000,-6.20203,-4.54304
3.20000,-6.40191,-4.59102
3.30000,-6.60206,-4.65764
3.40000,-6.80194,-4.73882
3.50000,-7.00191,-4.80583
3.60000,-7.20206,-4.87205
3.70000,-7.40203,-4.90936
3.80000,-7.60209,-4.95228
3.90000,-7.80197,-5.00456
4.00000,-8.00203,-5.07659
4.10000,-8.20191,-5.13663
4.20000,-8.40178,-5.17790
4.30000,-8.60194,-5.23703
4.40000,-8.80200,-5.28737
4.50000,-9.00197,-5.34942
4.60000,-9.20194,-5.40478
4.70000,-9.40191,-5.47572
4.80000,-9.60206,-5.49578
4.90000,-9.80194,-5.57562
5.00000,-10.00200,-5.64241
5.10000,-10.20197,-5.67848
5.20000,-10.40203,-5.73799
5.30000,-10.60200,-5.78706
5.40000,-10.80206,-5.83947
5.50000,-11.00194,-5.90596
5.60000,-11.20209,-5.94826
5.70000,-11.40206,-5.99363
5.80000,-11.60203,-6.05054
5.90000,-11.80200,-6.08436
6.00000,-12.00197,-6.14408
6.10000,-12.20194,-6.18164
6.20000,-12.40200,-6.21718
6.30000,-12.60197,-6.25072
6.40000,-12.80203,-6.30410
6.50000,-13.00200,-6.32877
6.60000,-13.20188,-6.38821
6.70000,-13.40194,-6.42685
6.80000,-13.60191,-6.45601
6.90000,-13.80206,-6.53096
7.00000,-14.00203,-6.57026
