Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,1.08122
0.10000,-0.19688,0.06261
0.20000,-0.40144,-4.19335
0.26500,-0.53194,-9.24123
0.36500,-0.73200,-13.45432
0.46500,-0.93206,-14.36859
0.56500,-1.13203,-14.99402
0.66500,-1.33209,-15.59695
0.76500,-1.53197,-16.13603
0.86500,-1.73203,-16.70684
0.96500,-1.93191,-17.23269
1.06500,-2.13188,-17.82832
1.16500,-2.33203,-18.34783
1.26500,-2.53191,-18.86053
1.36500,-2.73197,-19.33772
1.46500,-2.93194,-19.84460
1.56500,-3.13200,-20.24700
1.66500,-3.33206,-20.66620
1.76500,-3.53194,-21.12031
1.86500,-3.73181,-21.53667
1.96500,-3.93206,-21.96589
2.06500,-4.13203,-22.34581
2.16500,-4.33191,-22.72763
2.26500,-4.53188,-23.12103
2.36500,-4.73203,-23.48258
2.46500,-4.93181,-23.87278
2.56500,-5.13188,-24.16935
2.66500,-5.33203,-24.53599
2.76500,-5.53209,-24.86064
2.86500,-5.73197,-25.18853
2.96500,-5.93203,-25.54730
3.06500,-6.13219,-25.90626
3.16500,-6.33206,-26.17615
3.26500,-6.53194,-26.50197
3.36500,-6.73209,-26.83095
3.46500,-6.93206,-27.15822
3.56500,-7.13194,-27.43044
3.66500,-7.33209,-27.70935
3.76500,-7.53197,-27.99143
3.86500,-7.73194,-28.31208
3.96500,-7.93191,-28.60229
4.06500,-8.13197,-28.85603
4.16500,-8.33203,-29.14146
4.26500,-8.53191,-29.43327
4.36500,-8.73188,-29.74672
4.46500,-8.93203,-30.00847
4.56500,-9.13209,-30.26573
4.66500,-9.33206,-30.54721
4.76500,-9.53203,-30.82539
4.86500,-9.73200,-31.11240
4.96500,-9.93206,-31.32523
5.06500,-10.13203,-31.62945
5.16500,-10.33200,-31.89668
5.26500,-10.53197,-32.15573
5.36500,-10.73194,-32.39947
5.46500,-10.93191,-32.65147
5.56500,-11.13197,-32.94086
5.66500,-11.33203,-33.19251
5.76500,-11.53200,-33.45366
5.86500,-11.73197,-33.68173
5.96500,-11.93203,-33.92038
6.06500,-12.13209,-34.17303
6.16500,-12.33197,-34.44873
6.26500,-12.53194,-34.69416
6.36500,-12.73200,-34.97122
6.46500,-12.93197,-35.18702
6.56500,-13.13203,-35.41014
6.66500,-13.33191,-35.68063
6.76500,-13.53197,-35.97725
6.86500,-13.73203,-36.26251
6.96500,-13.93200,-36.50319
7.06500,-14.13206,-36.78645
7.16500,-14.33203,-37.04258
7.26500,-14.53200,-37.29547
7.36500,-14.73169,-37.55859
7.46500,-14.93213,-37.78400
7.56500,-15.13209,-38.02127
7.66500,-15.33206,-38.33741
7.76500,-15.53203,-38.60110
7.86500,-15.73209,-38.85540
7.96500,-15.93206,-39.11706
8.06500,-16.13203,-39.31012
8.16500,-16.33200,-39.54102
8.26500,-16.53188,-39.84233
8.36500,-16.73203,-40.10547
8.46500,-16.93200,-40.41615
8.56500,-17.13188,-40.61650
8.66500,-17.33194,-40.89803
8.76500,-17.53200,-41.10752
8.86500,-17.73188,-41.35391
8.96500,-17.93194,-41.58415
9.06500,-18.13200,-41.83207
9.16500,-18.33197,-42.06490
9.26500,-18.53194,-42.33522
9.36500,-18.73200,-42.55334
9.46500,-18.93206,-42.83432
9.56500,-19.13184,-43.10688
9.66500,-19.33209,-43.33429
9.76500,-19.53197,-43.54513
9.86500,-19.73203,-43.78596
9.96500,-19.93200,-44.01850
10.06500,-20.13197,-44.25365
10.16500,-20.33203,-44.55585
10.26500,-20.53191,-44.79972
