Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,1.06469
0.10000,-0.49266,0.25955
0.13100,-0.65372,-4.75349
0.17600,-0.88275,-9.77156
0.27600,-1.38478,-11.24558
0.37600,-1.88484,-12.66016
0.47600,-2.38509,-14.07779
0.57600,-2.88488,-15.39372
0.67600,-3.38494,-16.59758
0.77600,-3.88509,-17.77834
0.87600,-4.38497,-18.90375
0.97600,-4.88503,-19.97398
1.07600,-5.38509,-20.98119
1.17600,-5.88497,-21.94750
1.27600,-6.38503,-22.81928
1.37600,-6.88519,-23.66237
1.47600,-7.38497,-24.49500
1.57600,-7.88484,-25.24950
1.67600,-8.38500,-26.02347
1.77600,-8.88497,-26.81175
1.87600,-9.38503,-27.51410
1.97600,-9.88509,-28.20516
2.07600,-10.38497,-28.90251
2.17600,-10.88494,-29.58264
2.27600,-11.38509,-30.29265
2.37600,-11.88506,-30.93476
2.47600,-12.38503,-31.59801
2.57600,-12.88509,-32.22578
2.67600,-13.38497,-32.86432
2.77600,-13.88494,-33.53940
2.87600,-14.38509,-34.17413
2.97600,-14.88478,-34.83317
3.07600,-15.38494,-35.48784
3.17600,-15.88509,-36.07867
3.27600,-16.38506,-36.72264
3.37600,-16.88484,-37.36059
3.47600,-17.38500,-37.97417
3.57600,-17.88497,-38.59663
3.67600,-18.38503,-39.22196
3.77600,-18.88509,-39.84374
3.87600,-19.38506,-40.52310
3.97600,-19.88494,-41.10599
4.07600,-20.38509,-41.74768
4.17600,-20.88497,-42.38133
4.27600,-21.38494,-42.97727
4.37600,-21.88510,-43.62126
4.47600,-22.38488,-44.31115
4.57600,-22.88503,-44.94317
4.67600,-23.38509,-45.66119
4.77600,-23.88497,-46.31223
4.87600,-24.38503,-47.00664
4.97600,-24.88509,-47.69959
5.07600,-25.38506,-48.40111
5.17600,-25.88513,-49.16992
5.27600,-26.38500,-49.90630
5.37600,-26.88488,-50.62229
5.47600,-27.38494,-51.34624
5.57600,-27.88500,-52.09599
5.67600,-28.38488,-52.82114
5.77600,-28.88494,-53.54891
5.87600,-29.38510,-54.33140
5.97600,-29.88516,-55.15886
6.07600,-30.38503,-55.91170
6.17600,-30.88509,-56.79207
6.27600,-31.38497,-57.56323
6.37600,-31.88503,-58.38760
6.47600,-32.38510,-59.25193
6.57600,-32.88497,-60.09463
6.67600,-33.38494,-61.04130
6.77600,-33.88510,-61.89182
6.87600,-34.38497,-62.84135
6.97600,-34.88494,-63.73881
7.07600,-35.38509,-64.68649
7.17600,-35.88506,-65.65888
7.27600,-36.38494,-66.66037
7.37600,-36.88519,-67.62689
7.47600,-37.38497,-68.68622
7.57600,-37.88475,-69.67585
7.67600,-38.38500,-70.72251
7.77600,-38.88488,-71.76118
7.87600,-39.38503,-72.88685
7.97600,-39.88510,-73.94243
8.05000,-40.25494,-74.75264
