Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,1.05394
0.06700,-0.94603,-4.08868
0.08800,-1.36172,-9.12311
0.15700,-2.75306,-14.14350
0.25700,-4.75537,-18.93402
0.35700,-6.75478,-22.90075
0.45700,-8.75475,-26.13936
0.55700,-10.75556,-29.01145
0.65700,-12.75469,-31.61532
0.75700,-14.75522,-34.07058
0.85700,-16.75538,-36.51787
0.95700,-18.75450,-38.96049
1.05700,-20.75522,-41.53191
1.15700,-22.75547,-44.04896
1.25700,-24.75478,-46.72474
1.35700,-26.75494,-49.53697
1.45700,-28.75538,-52.42131
1.55700,-30.75478,-55.46959
1.65700,-32.75513,-58.77126
1.75700,-34.75547,-62.37789
1.85700,-36.75469,-66.09098
1.95700,-38.75503,-70.09510
2.05500,-40.71563,-74.30204
